,symbol,price variation,last prices
0,CA,-0.03,14.97
1,RI,-0.06,160.25
2,BN,0.08,74.04
3,ORA,0.15,13.19
4,VIV,-0.15,26.21
5,LR,-0.27,73.34
6,KER,-0.33,596.0
7,SAN,0.42,90.6
8,AI,-0.51,126.05
9,MC,-0.55,416.85
10,SW,-0.57,105.0
11,VIE,-0.63,23.78
12,HO,0.67,93.56
13,AIR,-0.69,132.6
14,FP,0.73,50.18
15,OR,-0.79,262.1
16,ATO,-0.8,74.84
17,ACA,-0.8,13.08
18,CAP,-0.81,110.15
19,DG,-0.9,98.94
20,SU,-0.9,92.22
21,ENGI,-0.99,14.55
22,AC,-1.13,41.29
23,ML,-1.34,107.0
24,GLE,-1.42,31.2
25,BNP,-1.44,52.81
26,FTI,1.69,19.25
27,EN,-1.76,37.93
28,SGO,-1.8,36.32
29,UG,-2.48,21.2
